Incident,Date,Offense Type,Premise
1537917,1/1/2017,Stalking - By Other Means (T),Residence or House
138436518,1/1/2017,Juvenile Abuse / Referrals,Commercial Building
24719518,1/1/2017,Sexual Assault (Force Intercourse),Residence or House
94142920,1/1/2017,Harassment - By Other Means (T),Residence or House
57138320,1/1/2017,Juvenile Abuse / Referrals,Residence or House
4589922,1/1/2017,Aggr Sex Assault (Other Penetration-Child),Apartment
141626122,1/1/2017,Indecency With Child (Felony),Residence or House
106201422,1/1/2017,Sexual Assault (Other Penetration)(Child),Residence or House
62658620,1/1/2017,Juvenile Abuse / Referrals,Residence or House
3933720,1/1/2017,Juvenile Abuse / Referrals,"Other, Unknown, or Not Listed"
17762018,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
105990418,1/1/2017,Juvenile Abuse / Referrals,"Other, Unknown, or Not Listed"
860217,1/1/2017,Abuse Of A Child (Neglect),Residence or House
940217,1/1/2017,Theft - All Other Items (Miscellaneous),Apartment
2597517,1/1/2017,Aggravated Assault (Deadly Weapon),Apartment
4544417,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
126320618,1/1/2017,CPS / CAC Juvenile Referral,"Other, Unknown, or Not Listed"
156665918,1/1/2017,Juvenile Abuse / Referrals,Residence or House
72426719,1/1/2017,Credit Card Abuse-Present/Unauthorized Use,Residence or House
40704620,1/1/2017,"Forgery (Unclassified, All Others)",Residence or House
12695921,1/1/2017,Outside Case - Sexual Assault - Rape,"Other, Unknown, or Not Listed"
111344218,1/1/2017,Juvenile Abuse / Referrals,Residence or House
52184517,1/1/2017,Sexual Assault (Force Intercourse),Residence or House
54477717,1/1/2017,Investigation - Mental Health/Illness/NPC,"Other, Unknown, or Not Listed"
131998319,1/1/2017,Sexual Assault (Force Intercourse),Residence or House
18830320,1/1/2017,Investigation - Sexual Assault - Rape,Residence or House
5994622,1/1/2017,Fam Viol - Agg Assault - Pregnant Person,Residence or House
159012120,1/1/2017,Juvenile Abuse / Referrals,Residence or House
84089520,1/1/2017,Juvenile Abuse / Referrals,Residence or House
32044522,1/1/2017,Juvenile Abuse / Referrals,Residence or House
11282323,1/1/2017,Juvenile Abuse / Referrals,Residence or House
440017,1/1/2017,Assault (A/C) Bodily Force (H),Apartment Parking Lot
141602618,1/1/2017,Continuous Sexual Abuse Of Child,Residence or House
75697818,1/1/2017,Human Trafficking - Commercial Sex Acts,"Road, Street, or Sidewalk"
76848719,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
18640619,1/1/2017,Sexual Assault (Other Penetration)(Child),Residence or House
19877118,1/1/2017,Outside Case - Sexual Assault - Rape,Residence or House
47181717,1/1/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
108820019,1/1/2017,Juvenile Abuse / Referrals,Apartment
28617,1/1/2017,Aggravated Assault (Deadly Weapon),Apartment
34117,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
55617,1/1/2017,Assault (Police Officer)-Bodily Force (H),Apartment
61117,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
60517,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
73017,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
75117,1/1/2017,Aggravated Assault (Deadly Weapon),Residence or House
81217,1/1/2017,Aggravated Assault (Deadly Weapon),Other Parking Lot
169817,1/1/2017,Aggravated Assault (Deadly Weapon),Highway or Freeway
173317,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
176117,1/1/2017,Fam Viol - Burg of Resid to Commit Assault,Residence or House
176217,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
180517,1/1/2017,Fam Viol - S.B.Injury - Agg Assault (H),Apartment Parking Lot
182217,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
182817,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
342417,1/1/2017,Juvenile Abuse / Referrals,Residence or House
343117,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
351017,1/1/2017,Theft From Person (Purse Snatch) - Robbery,Train (Not Metro) Terminal
352717,1/1/2017,Investigation - Sexual Assault - Rape,Residence or House
369617,1/1/2017,Murder,Residence or House
377017,1/1/2017,Aggravated Assault (Deadly Weapon),Residence or House
377217,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
376917,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Grocery Store or Supermarket
436617,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Convenience Store Parking Lot
437817,1/1/2017,Capias / Old Warrants / New Traffic,Apartment
439217,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
447317,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
462117,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Department or Discount Store
462317,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),"Multi-Plex Home (Duplex,Triplex Etc.)"
464317,1/1/2017,Aggravated Assault (Deadly Weapon),"Road, Street, or Sidewalk"
519317,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment Parking Lot
521017,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
524717,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
526417,1/1/2017,Fam Viol - Agg Assault (Impede Breath) (H),Residence or House
539317,1/1/2017,Aggravated Assault (Deadly Weapon),Apartment
540917,1/1/2017,Investigation - Family Violence,"Road, Street, or Sidewalk"
545417,1/1/2017,Fam Viol - Agg Assault (Impede Breath) (H),Residence or House
726717,1/1/2017,Burglary Motor Vehicle (Contents/Not-Part),Apartment Parking Lot
153780320,1/1/2017,Harassment - By Other Means (T),Apartment
2166017,1/1/2017,Report Created In Error,Residence or House
143572117,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
88864418,1/1/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
4101217,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
4348017,1/1/2017,Aggravated Assault (Deadly Weapon),Residence or House
7188417,1/1/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
153482420,1/1/2017,Juvenile Abuse / Referrals,Residence or House
8794117,1/1/2017,Fam Viol - Stalking - By Other Means (T),Apartment Parking Lot
36066317,1/1/2017,Sexual Assault (Other Penetration)(Child),Residence or House
125852819,1/1/2017,Investigation - Family Violence,Apartment
12029317,1/1/2017,Sexual Assault (Force Intercourse),"Road, Street, or Sidewalk"
23814319,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
1576021,1/1/2017,Forgery (By Alteration),Apartment
56176621,1/1/2017,Investigation - Other Sex Offenses,Residence or House
84116520,1/1/2017,Sexual Assault (Force Intercourse),"Other, Unknown, or Not Listed"
52223418,1/1/2017,Investigation - Other Sex Offenses,Residence or House
144615918,1/1/2017,Sexual Assault (Fondling) - Felony,Residence or House
6233320,1/1/2017,Sexual Assault (Other Penetration)(Child),Residence or House
98357221,1/1/2017,Theft - All Other Items (Miscellaneous),Residence or House
40265020,1/1/2017,Juvenile Abuse / Referrals,Residence or House
13060421,1/1/2017,Sexual Assault (Other Penetration)(Child),Apartment
143931722,1/1/2017,Outside Case - Sexual Assault - Rape,Residence or House
54685423,1/1/2017,Indecency With Child (Felony),Residence or House
103917,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
186117,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
188416,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
190917,1/1/2017,Criminal Mischief (Auto) < $1500 Loss,Residence or House
194317,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
195417,1/1/2017,Sexual Assault (Other Penetration)(Child),Vehicle/Auto Sales/Lease/Auto Parts Store
195917,1/1/2017,Assault (A/C) Bodily Force (H),"Hotel, Motel, Inn, Etc."
196617,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
197217,1/1/2017,Aggravated Assault (Deadly Weapon),Residence or House
199117,1/1/2017,Aggravated Assault (Deadly Weapon),Residence or House
200517,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
204117,1/1/2017,Aggravated Assault (Deadly Weapon),Residence or House
210717,1/1/2017,Theft - All Other Items (Miscellaneous),Apartment Parking Lot
211517,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
212117,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
212517,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
214217,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
214917,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
209317,1/1/2017,Aggravated Assault (Deadly Weapon),Residence or House
267417,1/1/2017,Investigation - Family Violence,Apartment
272417,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
272517,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
279017,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
286017,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
278017,1/1/2017,Aggravated Assault (Deadly Weapon),Apartment
464817,1/1/2017,Sexual Assault (Other Penetration)(Child),Residence or House
468417,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
470117,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
467317,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
484017,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
486417,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
490017,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
491917,1/1/2017,Fam Viol - Agg Assault (Impede Breath) (H),Apartment
497017,1/1/2017,Criminal Mischief (Auto) < $1500 Loss,Apartment Parking Lot
498617,1/1/2017,Fam Viol - S.B.Injury - Agg Assault (H),Residence or House
501317,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment Parking Lot
506117,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Hotel, Motel, Inn, Etc."
557817,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Hotel, Motel, Inn, Etc."
677917,1/1/2017,Aggravated Assault (Deadly Weapon),"Road, Street, or Sidewalk"
87931719,1/1/2017,Investigation - Family Violence,Apartment
59381717,1/1/2017,Investigation - Assault,Commercial Parking Lot or Garage
5537417,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
148482519,1/1/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
34576618,1/1/2017,Sexual Assault (Other Penetration)(Adult),Apartment
29267520,1/1/2017,Sexual Assault (Other Penetration)(Child),Residence or House
167371819,1/1/2017,Theft - Firearm,Apartment
132168421,1/1/2017,Sexual Assault (Force Intercourse),Residence or House
20518020,1/1/2017,Juvenile Abuse / Referrals,Apartment
79203121,1/1/2017,Sexual Assault (Other Penetration)(Child),Apartment
12125023,1/1/2017,Indecency With Child (Felony),Residence or House
409217,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Airport Terminal
42448620,1/1/2017,Juvenile Abuse / Referrals,Residence or House
18253219,1/1/2017,Investigation - Family Violence,Government or Public Building
133723517,1/1/2017,Sexual Assault (Force Intercourse),Apartment Parking Lot
78846319,1/1/2017,Juvenile Abuse / Referrals,Residence or House
30899520,1/1/2017,Sexual Assault (Other Penetration)(Child),Residence or House
109517,1/1/2017,Investigation - Family Violence,Residence or House
111017,1/1/2017,"PCS - Felony -Opium,Cocaine,Derivat (Poss)",Residence or House
111217,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
113317,1/1/2017,Investigation - Family Violence,Residence or House
118517,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
217117,1/1/2017,Agg Assault (Serious Bodily Injury) (H),Rehabilitation Center
224517,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
226117,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
223317,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
293217,1/1/2017,Aggravated Assault (Deadly Weapon),Apartment
297317,1/1/2017,Aggravated Assault (Deadly Weapon),Mobile Home
297417,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
300117,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
306117,1/1/2017,Aggravated Assault (Deadly Weapon),Apartment
313017,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
313417,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
314817,1/1/2017,Aggravated Assault (Deadly Weapon),Apartment
383217,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
387817,1/1/2017,Investigation - Family Violence,Residence or House
394817,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
395017,1/1/2017,Criminal Mischief (Auto) > $1500 Loss,Residence or House
399417,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
408317,1/1/2017,Juvenile Abuse / Referrals,Residence or House
412917,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
416117,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
743917,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
761717,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment Parking Lot
834017,1/1/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
894717,1/1/2017,Aggravated Assault (Deadly Weapon),"Road, Street, or Sidewalk"
27616417,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
29878820,1/1/2017,Theft - All Other Items (Miscellaneous),Residence or House
29879017,1/1/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
147338619,1/1/2017,Sexual Assault (Force Intercourse),Apartment
72055817,1/1/2017,Juvenile Abuse / Referrals,Apartment
41071917,1/1/2017,Fam Viol - Harassment - By Other Means (T),Apartment
94028321,1/1/2017,Sexual Assault (Force Intercourse),Apartment
131909420,1/1/2017,Sexual Assault (Other Penetration)(Child),Residence or House
68017620,1/1/2017,Sexual Assault (Force Intercourse),Apartment
41169320,1/1/2017,Juvenile Abuse / Referrals,Residence or House
15352121,1/1/2017,Forgery (By Check),Bank
77015520,1/1/2017,Continuous Sexual Abuse Of Child,Apartment
49828821,1/1/2017,Investigation - Sexual Assault - Rape,"Other, Unknown, or Not Listed"
97912621,1/1/2017,Juvenile Abuse / Referrals,"Theatres, Dinner Theaters, Auditoriums"
14916521,1/1/2017,Sexual Assault (Force Intercourse),Residence or House
145967222,1/1/2017,Sexual Assault (Other Penetration)(Child),Residence or House
101354719,1/2/2017,Juvenile Abuse / Referrals,"Other, Unknown, or Not Listed"
896117,1/2/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
893517,1/2/2017,Aggravated Assault (Deadly Weapon),Apartment Parking Lot
904217,1/2/2017,Robbery,Restaurant or Cafeteria Parking Lot
886517,1/2/2017,Juvenile Abuse / Referrals,Residence or House
890817,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
909517,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
912517,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
835417,1/2/2017,Fam Viol-Terroristic Threat Other Means(T),"Road, Street, or Sidewalk"
837517,1/2/2017,Investigation - Family Violence,Apartment
840317,1/2/2017,Investigation - Family Violence,Residence or House
818017,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
828217,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment Parking Lot
762617,1/2/2017,Investigation - Family Violence,Residence or House
763417,1/2/2017,Criminal Mischief (Habitation) > $1500,Residence or House
764717,1/2/2017,Investigation - Family Violence,Apartment
766517,1/2/2017,Aggravated Assault (Deadly Weapon),Apartment
746817,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
747017,1/2/2017,Aggravated Assault (Deadly Weapon),Residence or House
771217,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Hospital
806617,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
810817,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment Parking Lot
1043017,1/2/2017,Investigation - Sexual Assault - Rape,Apartment
565517,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
568517,1/2/2017,Investigation - Family Violence,Apartment
569017,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
565217,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
575517,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
580117,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
588217,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
676617,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
679217,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
679317,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
680417,1/2/2017,Assault (A/C) Bodily Force (H),Residence or House
684317,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
684417,1/2/2017,Assault (A/C) Bodily Force (H),Apartment
688617,1/2/2017,Criminal Mischief (Habitation) < $1500,Apartment
693817,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
700917,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Hotel, Motel, Inn, Etc."
701217,1/2/2017,Affray (Fighting In A Public Place),Apartment
561117,1/2/2017,Theft - All Other Items (Miscellaneous),Apartment
555817,1/2/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
1020617,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
39721817,1/2/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
3706717,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
722817,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
732317,1/2/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
717717,1/2/2017,Retaliation - By Threat (T),Residence or House
718317,1/2/2017,Aggravated Assault (Deadly Weapon),Residence or House
721017,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
711017,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
714217,1/2/2017,Theft - All Other Items (Miscellaneous),Apartment
715117,1/2/2017,Investigation - Family Violence,Driveway
738717,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
545717,1/2/2017,Affray (Fighting In A Public Place),Apartment Parking Lot
552117,1/2/2017,Aggravated Assault (Deadly Weapon),Residence or House
594417,1/2/2017,Terroristic Threat by Other Means (T),Apartment
774117,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
782417,1/2/2017,Aggravated Assault (Deadly Weapon),Residence or House
782817,1/2/2017,Criminal Mischief (Auto) < $1500 Loss,Residence or House
784017,1/2/2017,Aggravated Assault (Deadly Weapon),Miscellaneous Business (Non-Specific)
1111517,1/2/2017,Sexual Assault (Force Intercourse),Apartment Parking Lot
134333317,1/2/2017,Investigation - Other Offenses (Not Traff),Apartment
956217,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Hotel, Motel, Inn, Etc."
958917,1/2/2017,Fam Viol - Harassment - By Other Means (T),Apartment
1239417,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
1353017,1/2/2017,Aggravated Assault (Deadly Weapon),Apartment Parking Lot
852418,1/2/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
854317,1/2/2017,Terroristic Threat by Other Means (T),Restaurant or Cafeteria Parking Lot
855117,1/2/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
868217,1/2/2017,Aggravated Assault (Deadly Weapon),Residence or House
870517,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
609517,1/2/2017,Investigation - Family Violence,"Road, Street, or Sidewalk"
616517,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
606417,1/2/2017,Aggravated Assault (Deadly Weapon),Residence or House
626417,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
1509117,1/2/2017,Aggravated Robbery (Deadly Weapon),Apartment Rental Office
704617,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
705817,1/2/2017,Sexual Assault (Force Intercourse),Apartment
702817,1/2/2017,Mental Illness,Apartment
927817,1/2/2017,Theft - All Other Items (Miscellaneous),Apartment
659117,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
646117,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
647717,1/2/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
649917,1/2/2017,Aggravated Assault (Deadly Weapon),Residence or House
927517,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Hotel, Motel, Inn, Etc."
1006717,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
1066217,1/3/2017,Investigation - Family Violence,Apartment
1078317,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
1080317,1/3/2017,Aggravated Assault (Deadly Weapon),"Multi-Plex Home (Duplex,Triplex Etc.)"
1132417,1/3/2017,Investigation - Family Violence,"Multi-Plex Home (Duplex,Triplex Etc.)"
1149517,1/3/2017,Juvenile Abuse / Referrals,Apartment
1150517,1/3/2017,Investigation - Family Violence,Apartment
1197517,1/3/2017,Assault (A/C) Bodily Force (H),Apartment
1197917,1/3/2017,"PCS - Felony -Opium,Cocaine,Derivat (Poss)",Apartment Parking Lot
18108018,1/3/2017,Investigation - Other Sex Offenses,Apartment
1351317,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
1351717,1/3/2017,Investigation - Family Violence,Residence or House
1364617,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
1364917,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
1352317,1/3/2017,Assault (A/C) Bodily Force (H),Convenience Store Parking Lot
1341617,1/3/2017,Robbery,Apartment
1344417,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
1346517,1/3/2017,Aggravated Assault (Deadly Weapon),Residence or House
1216817,1/3/2017,Assault (A/C) Bodily Force (H),Apartment
1225917,1/3/2017,Criminal Mischief (Habitation) < $1500,Apartment
1233217,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment Parking Lot
956717,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
956417,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
939817,1/3/2017,Investigation - Family Violence,Apartment
942617,1/3/2017,Aggravated Assault (Deadly Weapon),Hotel or Motel Parking Lot
944917,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
945417,1/3/2017,Investigation - Family Violence,Apartment
948817,1/3/2017,Aggravated Assault (Deadly Weapon),Apartment
156443120,1/3/2017,Juvenile Abuse / Referrals,Residence or House
1580217,1/3/2017,Fam Viol-Terroristic Threat Other Means(T),"Church, Synagogue, or Temple Parking Lot"
1591517,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
1592917,1/3/2017,Fam Viol - Burg of Resid to Commit Assault,Apartment
1122517,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
1128217,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
1282717,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
1286417,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
987217,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
1000817,1/3/2017,Interference with Child Custody,Miscellaneous Business (Non-Specific)
1001217,1/3/2017,Fam Viol-Terroristic Threat Other Means(T),Condominium
4701917,1/3/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
1028617,1/3/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
