File Name,REGION,INSTITUTION,MALE,FEMALE,TOTAL,Black #,Black %,White #,White %,Latinx #,Latinx %,American Indian #,American Indian %,Asian #,Asian %,Unknown #,Unknown %,TOTAL,Validation Link
Inmate Characteristics Report FY 2018 Q2.pdf,RCI,1762,.,1762,1265,71.8%,467,26.5%,7,.4%,7,.4%,16,.9%,1762,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=2&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,WCI,1656,.,1656,1162,70.2%,473,28.6%,4,.2%,8,.5%,9,.5%,1656,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=3&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,TOTAL,8021,.,8021,5552,69.2%,2346,29.2%,25,.3%,37,.5%,61,.8%,8021,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=4&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,BCCC BCF,475 606,. .,475 606,404 434,85.1% 71.6%,68 165,14.3% 27.2%,1 2,.2% .3%,1 3,.2% .5%,1 2,.2% .3%,475 606,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=5&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,CMCF,489,.,489,356,72.8%,128,26.2%,.,.,1,.2%,4,.8%,489,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=6&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,DRCF,814,.,814,608,74.7%,194,23.8%,2,.2%,2,.2%,8,1.0%,814,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=7&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,ECI-A,584,.,584,393,67.3%,187,32.0%,1,.2%,1,.2%,2,.3%,584,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=8&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,ECI-E,1336,.,1336,878,65.7%,430,32.2%,3,.2%,3,.2%,22,1.6%,1336,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=9&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,ECI-W,1385,.,1385,982,70.9%,380,27.4%,5,.4%,3,.2%,15,1.1%,1385,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=10&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,EPRU,160,.,160,99,61.9%,58,36.3%,2,1.3%,1,.6%,.,.,160,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=11&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,JCI,1465,.,1465,1179,80.5%,271,18.5%,3,.2%,4,.3%,8,.5%,1465,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=12&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,MCIJ MCIW,1017 .,. 717,1017 717,713 332,70.1% 46.3%,279 369,27.4% 51.5%,1 5,.1% .7%,1 5,.1% .7%,23 6,2.3% .8%,1017 717,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=13&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,MRDCC SMPRU,355 121,. .,355 121,263 93,74.1% 76.9%,83 26,23.4% 21.5%,1 1,.3% .8%,2 1,.6% .8%,6 .,1.7% .,355 121,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=14&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,TOTAL PATX-M PATX-F TOTAL,8807 854 . 854,717 . 64 64,9524 854 64 918,6734 640 25 665,70.7% 74.9% 39.1% 72.4%,2638 204 38 242,27.7% 23.9% 59.4% 26.4%,27 2 1 3,.3% .2% 1.6% .3%,28 5 . 5,.3% .6% . .5%,97 3 . 3,1.0% .4% . .3%,9524 854 64 918,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=15&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,BCBIC MTC YDC TOTAL CHDU THRESH TOTAL,83 63 11 157 138 32 170,5 . . 5 10 . 10,88 63 11 162 148 32 180,66 52 8 126 115 31 146,75.0% 82.5% 72.7% 77.8% 77.7% 96.9% 81.1%,19 11 3 33 33 1 34,21.6% 17.5% 27.3% 20.4% 22.3% 3.1% 18.9%,. . . . . . .,. . . . . . .,. . . . . . .,. . . . . . .,3 . . 3 . . .,3.4% . . 1.9% . . .,88 63 11 162 148 32 180,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=16&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,TOTAL,18009,796,18805,13223,70.3%,5293,28.1%,55,.3%,70,.4%,164,.9%,18805,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=17&page=0
Inmate Characteristics Report FY 2018 Q3.pdf,MCIH MCTC,613 2822,. .,613 2822,340 1833,55.5% 65.0%,254 945,41.4% 33.5%,. 12,. .4%,2 17,.3% .6%,17 15,2.8% .5%,613 2822,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8018&row=0&page=0
Inmate Characteristics Report FY 2018 Q3.pdf,NBCI,1159,.,1159,957,82.6%,189,16.3%,1,.1%,4,.3%,8,.7%,1159,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8018&row=1&page=0
Inmate Characteristics Report FY 2018 Q3.pdf,RCI WCI,1750 1666,. .,1750 1666,1257 1168,71.8% 70.1%,468 475,26.7% 28.5%,6 4,.3% .2%,8 9,.5% .5%,11 10,.6% .6%,1750 1666,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8018&row=2&page=0
Inmate Characteristics Report FY 2018 Q3.pdf,TOTAL,8010,.,8010,5555,69.4%,2331,29.1%,23,.3%,40,.5%,61,.8%,8010,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8018&row=3&page=0
Inmate Characteristics Report FY 2018 Q3.pdf,BCCC,435,.,435,371,85.3%,60,13.8%,.,.,1,.2%,3,.7%,435,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8018&row=4&page=0
Inmate Characteristics Report FY 2018 Q3.pdf,BCF,612,.,612,448,73.2%,157,25.7%,2,.3%,2,.3%,3,.5%,612,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8018&row=5&page=0
Inmate Characteristics Report FY 2018 Q3.pdf,CMCF,480,.,480,368,76.7%,108,22.5%,.,.,2,.4%,2,.4%,480,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8018&row=6&page=0
Inmate Characteristics Report FY 2018 Q3.pdf,DRCF ECI-A ECI-E ECI-W EPRU,797 582 1336 1353 132,. . . . .,797 582 1336 1353 132,598 397 874 967 86,75.0% 68.2% 65.4% 71.5% 65.2%,189 183 433 363 44,23.7% 31.4% 32.4% 26.8% 33.3%,2 . 5 4 1,.3% . .4% .3% .8%,1 . 3 5 1,.1% . .2% .4% .8%,7 2 21 14 .,.9% .3% 1.6% 1.0% .,797 582 1336 1353 132,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8018&row=7&page=0
Inmate Characteristics Report FY 2018 Q3.pdf,JCI MCIJ MCIW,1503 904 .,. . 736,1503 904 736,1210 628 337,80.5% 69.5% 45.8%,277 255 385,18.4% 28.2% 52.3%,3 . 5,.2% . .7%,4 . 4,.3% . .5%,9 21 5,.6% 2.3% .7%,1503 904 736,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8018&row=8&page=0
Inmate Characteristics Report FY 2018 Q3.pdf,MRDCC SMPRU TOTAL,425 94 8653,. . 736,425 94 9389,323 63 6670,76.0% 67.0% 71.0%,93 29 2576,21.9% 30.9% 27.4%,3 1 26,.7% 1.1% .3%,2 1 26,.5% 1.1% .3%,4 . 91,.9% . 1.0%,425 94 9389,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8018&row=9&page=0
Inmate Characteristics Report FY 2018 Q3.pdf,PATX-M PATX-F TOTAL,838 . 838,. 55 55,838 55 893,625 22 647,74.6% 40.0% 72.5%,201 32 233,24.0% 58.2% 26.1%,5 . 5,.6% . .6%,3 . 3,.4% . .3%,4 1 5,.5% 1.8% .6%,838 55 893,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8018&row=10&page=0
Inmate Characteristics Report FY 2018 Q3.pdf,BCBIC MTC YDC TOTAL CHDU THRESH TOTAL TOTAL,73 50 13 136 144 26 170 17807,7 . . 7 9 . 9 807,80 50 13 143 153 26 179 18614,67 38 8 113 117 24 141 13126,83.8% 76.0% 61.5% 79.0% 76.5% 92.3% 78.8% 70.5%,12 12 4 28 35 2 37 5205,15.0% 24.0% 30.8% 19.6% 22.9% 7.7% 20.7% 28.0%,. . . . 1 . 1 55,. . . . .7% . .6% .3%,. . . . . . . 69,. . . . . . . .4%,1 . 1 2 . . . 159,1.3% . 7.7% 1.4% . . . .9%,80 50 13 143 153 26 179 18614,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8018&row=11&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,MCIH,631,.,631,356,56.4%,262,41.5%,.,.,2,.3%,11,1.7%,631,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=0&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,MCTC,2827,.,2827,1853,65.5%,932,33.0%,9,.3%,16,.6%,17,.6%,2827,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=1&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,NBCI,1153,.,1153,951,82.5%,189,16.4%,1,.1%,4,.3%,8,.7%,1153,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=2&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,RCI,1736,.,1736,1256,72.4%,454,26.2%,5,.3%,8,.5%,13,.7%,1736,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=3&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,WCI,1676,.,1676,1188,70.9%,465,27.7%,4,.2%,8,.5%,11,.7%,1676,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=4&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,TOTAL,8023,.,8023,5604,69.8%,2302,28.7%,19,.2%,38,.5%,60,.7%,8023,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=5&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,BCCC,374,.,374,321,85.8%,50,13.4%,.,.,.,.,3,.8%,374,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=6&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,BCF,584,.,584,415,71.1%,161,27.6%,2,.3%,4,.7%,2,.3%,584,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=7&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,CMCF,497,.,497,367,73.8%,127,25.6%,1,.2%,1,.2%,1,.2%,497,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=8&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,DRCF ECI-A,757 574,. .,757 574,576 398,76.1% 69.3%,175 174,23.1% 30.3%,1 .,.1% .,1 .,.1% .,4 2,.5% .3%,757 574,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=9&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,ECI-E ECI-W,1342 1374,. .,1342 1374,863 992,64.3% 72.2%,450 361,33.5% 26.3%,4 4,.3% .3%,3 4,.2% .3%,22 13,1.6% .9%,1342 1374,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=10&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,EPRU,162,.,162,113,69.8%,46,28.4%,2,1.2%,.,.,1,.6%,162,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=11&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,JCI MCIJ MCIW,1607 761 .,. . 754,1607 761 754,1308 524 342,81.4% 68.9% 45.4%,283 216 397,17.6% 28.4% 52.7%,2 1 5,.1% .1% .7%,6 1 4,.4% .1% .5%,8 19 6,.5% 2.5% .8%,1607 761 754,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=12&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,MRDCC,403,.,403,308,76.4%,92,22.8%,2,.5%,.,.,1,.2%,403,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=13&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,SMPRU,170,.,170,132,77.6%,37,21.8%,.,.,1,.6%,.,.,170,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=14&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,TOTAL,8605,754,9359,6659,71.2%,2569,27.4%,24,.3%,25,.3%,82,.9%,9359,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=15&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,PATX-M PATX-F TOTAL,811 . 811,. 61 61,811 61 872,603 25 628,74.4% 41.0% 72.0%,199 35 234,24.5% 57.4% 26.8%,3 . 3,.4% . .3%,3 . 3,.4% . .3%,3 1 4,.4% 1.6% .5%,811 61 872,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=16&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,BCBIC MTC YDC,102 60 12,10 . .,112 60 12,89 52 10,79.5% 86.7% 83.3%,20 8 2,17.9% 13.3% 16.7%,1 . .,.9% . .,. . .,. . .,2 . .,1.8% . .,112 60 12,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=17&page=0
Inmate Characteristics Report FY 2018 Q4.pdf,TOTAL CHDU THRESH TOTAL TOTAL,174 159 31 190 17803,10 6 . 6 831,184 165 31 196 18634,151 132 24 156 13198,82.1% 79.5% 77.4% 79.2% 70.8%,30 33 6 39 5174,16.3% 19.9% 19.4% 19.8% 27.8%,1 . . . 47,.5% . . . .3%,. 1 . 1 67,. .6% . .5% .4%,2 . 1 1 149,1.1% . 3.2% .5% .8%,184 166 31 197 18635,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8018&row=18&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,MCIH,627,.,627,356,56.8%,258,41.1%,2,.3%,1,.2%,10,1.6%,627,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=0&page=0
