File Name,REGION,INST,UNDER 17,17,18,19,20,21,22,23,24,25,26-30,31-35,36-40,41-50,51-60,OVER 60,TOTAL,AVERAGE AGE,Validation Link
Inmate Characteristics Report FY 2018 Q1.pdf,PATX-F,.,.,1,2,.,1,.,.,3,3,15,8,11,13,6,.,63,35.5,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=10&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,TOTAL,1,5,17,14,13,19,19,19,29,34,174,135,118,138,79,20,834,35.1,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=11&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,BCBIC,.,.,1,5,2,1,7,7,4,7,24,12,16,20,15,.,121,34.3,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=12&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,BPC-M,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,1,3,52.7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=13&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,MTC TOTAL CHDU THRESH TOTAL,. . . . .,. . . . .,1 2 . . .,. 5 1 . 1,1 3 1 . 1,1 2 6 1 7,2 9 5 . 5,. 7 1 1 2,1 5 7 3 10,5 12 3 . 3,11 35 27 7 34,12 24 30 7 37,5 21 19 4 23,17 39 32 4 36,16 31 18 2 20,7 8 1 . 1,79 203 151 29 180,41.8 37.5 36.5 33.8 36.0,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=14&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,TOTAL,1,9,47 121,,205,277 382,,487,582,652,3677,3173,2535,3695,2427,850,19120,37.8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=15&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,MCIH,.,.,1,4,5,9,13,14,17,22,97,86,92,130,92,44,626,39.8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=0&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,MCTC,.,.,5,21,37,58,73,64,114,98,580,475,375,499,297,111,2807,36.7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=1&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,NBCI,.,.,.,1,1,3,10,23,22,28,158,221,203,288,164,48,1170,39.9,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=2&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,RCI,.,.,4,7,23,29,31,47,59,55,341,275,258,315,231,87,1762,38.0,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=3&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,WCI,.,.,1,3,8,10,15,33,51,46,303,257,222,338,261,108,1656,39.9,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=4&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,TOTAL,.,.,11,36,74,109 142,,181,263,249,1479,1314,1150,1570,1045,398,8021,38.3,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=5&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,BCCC BCF,. .,. .,4 3,8 7,10 9,8 15,11 16,20 18,12 21,14 22,88 138,100 107,56 90,90 90,48 56,6 14,475 606,35.7 35.2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=6&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,CMCF,.,.,3,7,4,9,8,15,15,11,103,87,68,93,52,14,489,36.7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=7&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,DRCF,.,.,2,8,8,14,12,21,30,39,169,131,105,147,105,23,814,36.9,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=8&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,ECI-A,.,.,.,7,8,8,15,15,13,21,118,95,79,109,79,17,584,37.2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=9&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,ECI-E,.,.,1,6,11,19,15,33,35,42,256,215,196,235,196,76,1336,38.9,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=10&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,ECI-W,.,.,1,6,19,17,41,33,34,69,334,235,159,255,135,47,1385,36.3,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=11&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,EPRU,.,.,.,.,2,1,2,2,2,7,28,33,26,37,16,4,160,37.7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=12&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,JCI MCIJ MCIW,. . .,. . .,3 . .,6 6 1,9 10 6,17 11 7,24 19 14,30 28 15,40 31 20,38 32 16,207 199 151,193 165 137,171 128 90,328 202 156,263 131 82,136 55 22,1465 1017 717,41.6 38.3 37.5,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=13&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,MRDCC SMPRU TOTAL,. . .,. . .,4 . 21,8 . 70,15 . 111,17 4 147 190,12 1,8 6 244,12 1 266,15 2 328,68 22 1881,57 25 1580,49 21 1238,55 20 1817,28 15 1206,7 4 425,355 121 9524,33.9 37.2 37.7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=14&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,PATX-M PATX-F TOTAL,. . .,. . .,14 1 15,15 2 17,14 . 14,20 . 20,30 . 30,26 . 26,32 2 34,23 5 28,178 13 191,131 7 138,113 13 126,157 13 170,80 7 87,21 1 22,854 64 918,35.4 37.0 35.5,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=15&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,BCBIC MTC YDC TOTAL CHDU,. . 2 2 .,. . 9 9 .,. 1 . 1 .,. . . . 1,1 1 . 2 2,2 . . 2 5,2 3 . 5 1,1 1 . 2 2,3 1 . 4 4,7 2 . 9 6,24 13 . 37 27,5 8 . 13 30,16 5 . 21 23,15 14 . 29 30,11 9 . 20 16,1 5 . 6 1,88 63 11 162 148,36.2 39.2 16.8 36.1 36.6,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=16&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,THRESH,.,.,.,.,1,.,.,.,.,.,5,8,9,4,5,.,32,37.8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=17&page=1
Inmate Characteristics Report FY 2018 Q2.pdf,TOTAL TOTAL,. 2,. 9,. 48 124,1,3 204,5 283 368,1,2 455,4 571,6 620,32 3620,38 3083,32 2567,34 3620,21 2379,1 852,180 18805,36.8 37.9,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8036&row=18&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,MCIH,.,.,1,4,2,8,12,9,14,18,87,89,86,137,99,47,613,40.7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=0&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,MCTC,.,.,3,18,38,54,78,85,97,107,606,474,365,489,290,118,2822,36.5,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=1&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,NBCI RCI,. .,. .,1 .,1 14,1 16,2 31,9 32,21 41,17 66,29 59,156 321,211 264,206 256,290 328,160 230,55 92,1159 1750,40.2 38.2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=2&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,WCI,.,.,2,3,5,11,20,25,50,57,299,260,232,331,256,115,1666,40.0,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=3&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,TOTAL,.,.,7,40,62,106 151,,181,244,270,1469,1298,1145,1575,1035,427,8010,38.5,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=4&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,BCCC BCF,. .,. .,4 2,6 6,6 16,6 15,11 14,10 22,18 20,14 29,83 137,82 91,61 81,86 98,41 62,7 19,435 612,36.0 35.5,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=5&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,CMCF,.,.,4,7,5,8,12,15,15,16,113,81,67,72,57,8,480,35.6,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=6&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,DRCF,.,.,1,9,8,17,15,24,24,26,174,127,121,130,97,24,797,36.7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=7&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,ECI-A,.,.,1,6,13,8,14,14,13,22,106,94,86,107,80,18,582,37.4,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=8&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,ECI-E,.,.,1,3,8,18,18,30,36,42,255,206,196,249,195,79,1336,39.1,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=9&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,ECI-W,.,.,1,7,15,21,41,35,34,57,321,230,169,241,137,44,1353,36.3,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=10&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,EPRU,.,.,.,1,.,1,2,2,.,4,30,27,15,32,14,4,132,37.8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=11&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,JCI,.,.,4,8,9,23,20,30,40,47,207,202,176,338,263,136,1503,41.4,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=12&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,MCIJ MCIW,. .,. .,3 1,7 1,4 3,12 7,12 13,14 16,28 23,25 21,171 141,141 140,121 104,188 156,122 89,56 21,904 736,39.1 37.8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=13&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,MRDCC SMPRU,. .,. .,4 1,9 .,17 1,16 2,17 1,16 2,18 2,17 1,95 20,67 17,45 14,56 18,46 11,2 4,425 94,33.4 37.7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=14&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,TOTAL,.,.,27,70,105,154 190,,230,271,321,1853,1505,1256,1771,1214,422,9389,37.8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=15&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,PATX-M PATX-F TOTAL,. . .,. . .,11 . 11,16 3 19,17 . 17,13 . 13,27 . 27,29 . 29,24 1 25,20 4 24,185 15 200,125 5 130,110 9 119,150 12 162,84 5 89,27 1 28,838 55 893,35.9 36.3 35.9,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=16&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,BCBIC MTC YDC TOTAL CHDU THRESH,. . . . . .,. . 13 13 . .,. 1 . 1 . 1,4 . . 4 . .,1 1 . 2 2 .,1 . . 1 4 .,1 4 . 5 2 1,3 1 . 4 4 2,4 1 . 5 3 .,2 . . 2 7 1,20 9 . 29 31 2,13 7 . 20 34 5,8 4 . 12 23 6,15 11 . 26 29 3,6 7 . 13 13 5,2 4 . 6 1 .,80 50 13 143 153 26,34.7 39.2 17.0 34.6 35.6 36.1,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=17&page=1
Inmate Characteristics Report FY 2018 Q3.pdf,TOTAL TOTAL,. .,. 13,1 47 133,.,2 188,4 278 376,3,6 450,3 548,8 625,33 3584,39 2992,29 2561,32 3566,18 2369,1 884,179 18614,35.6 37.9,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=85d67ed8e19db8d7_3abff4f8a2b47ed6&schid=8036&row=18&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,MCIH,.,.,2,7,3,12,8,5,15,20,97,91,88,138,99,46,631,40.3,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=0&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,MCTC NBCI RCI,. . .,. . .,8 1 2,24 1 13,37 1 15,57 3 33,77 10 33,81 14 43,90 20 60,118 27 59,616 149 318,465 214 266,347 203 252,498 291 327,289 162 223,120 57 92,2827 1153 1736,36.5 40.3 38.2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=1&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,WCI,.,.,2,2,8,14,16,29,37,63,303,255,223,339,266,119,1676,40.1,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=2&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,TOTAL,.,.,15,47,64,119 144,,172,222,287,1483,1291,1113,1593,1039,434,8023,38.5,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=3&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,BCCC BCF CMCF,. . .,. . .,1 4 3,6 7 8,5 21 7,6 17 8,10 16 13,9 21 16,19 15 14,9 22 15,83 122 114,70 82 82,50 86 74,54 98 79,47 59 59,5 14 5,374 584 497,35.5 35.3 35.6,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=4&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,DRCF,.,.,1,6,12,12,16,23,24,22,165,113,98,126,105,34,757,37.5,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=5&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,ECI-A,.,.,2,4,5,10,11,15,14,15,109,106,67,102,93,21,574,38.2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=6&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,ECI-E,.,1,4,10,9,13,22,27,40,40,250,212,194,254,183,83,1342,39.0,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=7&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,ECI-W,.,.,1,10,18,25,37,43,36,48,349,216,176,238,137,40,1374,35.9,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=8&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,EPRU,.,.,.,2,5,1,3,5,3,3,36,27,21,32,19,5,162,36.8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=9&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,JCI,.,.,3,6,9,18,21,32,40,48,233,216,201,361,281,138,1607,41.3,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=10&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,MCIJ,.,.,4,7,4,10,7,15,25,23,139,108,105,148,112,54,761,39.5,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=11&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,MCIW,.,.,1,1,3,8,12,17,21,19,159,141,106,149,94,23,754,37.7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=12&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,MRDCC SMPRU,. .,. .,2 2,16 5,12 1,10 3,15 2,11 4,13 6,17 8,94 33,64 28,49 28,54 29,44 15,2 6,403 170,33.9 35.8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=13&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,TOTAL PATX-M PATX-F TOTAL,. . . .,1 . . .,28 9 . 9,88 13 3 16,111 16 . 16,141 185 17 . 17,23 1 24,238 26 . 26,270 25 1 26,289 25 5 30,1886 186 12 198,1465 117 8 125,1255 118 9 127,1724 139 15 154,1248 71 6 77,430 26 1 27,9359 811 61 872,37.8 35.7 37.0 35.8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=14&page=1
Inmate Characteristics Report FY 2018 Q4.pdf,BCBIC MTC YDC TOTAL CHDU,. . 3 3 .,. . 9 9 .,2 1 . 3 .,1 1 . 2 1,2 . . 2 4,1 2 . 3 2,6 3 . 9 3,5 1 . 6 2,3 2 . 5 4,3 2 . 5 7,28 10 . 38 26,21 9 . 30 38,12 5 . 17 33,19 10 . 29 36,4 9 . 13 9,5 5 . 10 1,112 60 12 184 166,34.1 38.6 16.8 34.5 36.0,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=b204a57866865106_3abff4f8a2b47ed6&schid=8036&row=15&page=1
